#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks
1010.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,33.7,0,33.7,0,33.65,33.75,0,33.75,0
1020.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,22.42,22.42,0,22.4,0,22.44,22.44,0,22.44,0
1030.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,18.92,0,18.92,0,18.94,19.2,0,19.2,0
1050.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,49,0,48.2,0,48.2,49.55,0,49.55,0
1060.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,41.75,0,41.75,0,41.5,41.8,0,41.8,0
1080.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,29.15,29.25,0,29.25,0,29.25,29.65,0,29.65,0
1120.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,79.9,80.2,0,80.2,0,80,80.3,0,80.3,0
1140.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,41.25,41.3,0,41.3,0,41.3,42,0,42,0
1150.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,32,32,0,32,0,32.05,32.05,0,32.05,0
1180.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,65.4,65.7,0,65.7,0,65.6,65.8,0,65.8,0
1182.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,17.34,18.2,0,17.4,0,17.36,17.42,0,17.42,0
1201.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.06,11.22,0,11.04,0,11.1,11.1,0,11.1,0
